tier,delta_mae_group_vs_demos,delta_mae_interpersonal_vs_demos,delta_band_acc_group_vs_demos,delta_band_acc_interpersonal_vs_demos
demos,0.0,0.0,0.0,0.0
employment,-0.6141078838174279,-0.5477178423236513,0.02489626556016597,0.053941908713692976
geo,-0.6473029045643157,-0.5892116182572611,0.02489626556016597,0.06224066390041494
transit,-0.589211618257262,2.5560165975103732,0.02074688796680499,-0.23236514522821577
full,-1.0290456431535269,2.008298755186722,0.05394190871369295,-0.17012448132780084
v3_rideshare,-0.8049792531120339,0.7053941908713695,0.02904564315352695,-0.05394190871369292
v3_public_transit,-0.6224066390041498,-0.3651452282157681,0.02489626556016597,0.049792531120331995
v3_voice,-1.020746887966805,0.605809128630705,0.03734439834024897,-0.02904564315352698
