agent_family,model,target,tier,mae,f1_macro,delta_mae_vs_prev,delta_f1_vs_prev
ml,random_forest,gt_interpersonal_ca,geo,4.4539834024896265,0.4152908043304136,-0.6517713211753673,0.093287879827255
ml,random_forest,gt_interpersonal_ca,transit,4.274792531120331,0.45769003253475304,-0.17919087136929512,0.042399228204339445
ml,knn,gt_group_ca,demos,5.82857913950174,0.2903246753246754,,
ml,knn,gt_group_ca,employment,5.801615791290901,0.32120353806400315,-0.026963348210839122,0.030878862739327773
ml,knn,gt_group_ca,geo,5.741340235051196,0.3095997481875142,-0.06027555623970482,-0.011603789876488968
ml,knn,gt_group_ca,transit,5.20941647580656,0.3470214818160023,-0.531923759244636,0.03742173362848811
ml,knn,gt_interpersonal_ca,demos,5.2670850672634115,0.333562622372739,,
ml,knn,gt_interpersonal_ca,employment,5.22060746532415,0.3632423194135574,-0.046477601939261426,0.02967969704081841
ml,knn,gt_interpersonal_ca,geo,5.004121902527802,0.38070783297333205,-0.21648556279634779,0.01746551355977466
ml,knn,gt_interpersonal_ca,transit,4.7503516219436674,0.39633529374565235,-0.25377028058413487,0.0156274607723203
