tier,sum,mean,count
demos,0,0.0,241
employment,0,0.0,241
full,0,0.0,241
geo,0,0.0,241
transit,0,0.0,241
v3_public_transit,0,0.0,241
v3_rideshare,0,0.0,241
v3_voice,0,0.0,241
