group_col,group_key,tier,n_predictions,n_with_ground_truth,mae_group,mae_interpersonal,mean_error_group,mean_error_interpersonal,band_acc_group,band_acc_interpersonal
Age,17.0,demos,1,1,2.0,9.0,-2.0,-9.0,0.0,0.0
Age,17.0,employment,1,1,1.0,5.0,1.0,-5.0,1.0,0.0
Age,17.0,full,1,1,0.0,9.0,0.0,-9.0,1.0,0.0
Age,17.0,geo,1,1,4.0,2.0,-4.0,-2.0,0.0,1.0
Age,17.0,transit,1,1,1.0,7.0,1.0,-7.0,1.0,0.0
Age,18.0,demos,1,1,1.0,11.0,-1.0,-11.0,1.0,0.0
Age,18.0,employment,1,1,1.0,5.0,-1.0,-5.0,1.0,0.0
Age,18.0,full,1,1,2.0,13.0,-2.0,-13.0,1.0,0.0
Age,18.0,geo,1,1,1.0,1.0,-1.0,-1.0,1.0,1.0
Age,18.0,transit,1,1,10.0,15.0,-10.0,-15.0,0.0,0.0
Age,19.0,demos,4,4,3.25,4.0,-2.25,1.0,0.25,0.25
Age,19.0,employment,4,4,4.5,5.25,-3.5,-5.25,0.25,0.25
Age,19.0,full,4,4,6.25,5.0,-5.25,-3.5,0.0,0.0
Age,19.0,geo,4,4,4.25,4.0,-3.25,-1.0,0.25,0.0
Age,19.0,transit,4,4,4.0,5.25,-4.0,-3.75,0.5,0.25
Age,21.0,demos,4,4,7.25,7.75,-3.25,0.25,0.25,0.5
Age,21.0,employment,4,4,7.5,5.75,-4.0,2.25,0.0,0.25
Age,21.0,full,4,4,10.0,7.0,-6.5,-5.0,0.25,0.5
Age,21.0,geo,4,4,10.0,9.5,-6.5,-1.0,0.0,0.0
Age,21.0,transit,4,4,8.5,5.0,-5.0,-0.5,0.25,0.25
Age,22.0,demos,5,5,8.0,7.8,-3.2,-4.6,0.2,0.2
Age,22.0,employment,5,5,8.0,7.2,-3.2,-2.4,0.2,0.2
Age,22.0,full,5,5,9.4,8.8,-3.4,-6.4,0.0,0.2
Age,22.0,geo,5,5,10.2,10.4,-5.4,-6.8,0.2,0.0
Age,22.0,transit,5,5,9.4,10.4,-3.4,-4.8,0.0,0.0
Age,23.0,demos,10,10,3.7,5.2,-0.1,0.6,0.3,0.4
Age,23.0,employment,10,10,3.7,4.6,-0.3,1.6,0.2,0.6
Age,23.0,full,10,10,3.2,5.6,0.0,0.0,0.4,0.4
Age,23.0,geo,10,10,3.8,6.2,-1.0,4.2,0.4,0.3
Age,23.0,transit,10,10,2.9,8.6,-0.5,0.2,0.6,0.0
Age,24.0,demos,4,4,7.25,4.75,-5.75,-2.25,0.0,0.25
Age,24.0,employment,4,4,5.25,4.75,-5.25,0.25,0.25,0.5
Age,24.0,full,4,4,5.75,8.25,-4.75,-4.75,0.0,0.5
Age,24.0,geo,4,4,6.5,6.75,-6.5,-4.25,0.5,0.0
Age,24.0,transit,4,4,6.25,4.5,-4.75,-2.5,0.25,0.5
Age,25.0,demos,8,8,5.875,4.75,1.875,1.75,0.375,0.625
Age,25.0,employment,8,8,6.25,11.5,0.75,4.75,0.5,0.0
Age,25.0,full,8,8,6.75,6.5,0.25,2.0,0.375,0.5
Age,25.0,geo,8,8,7.5,6.75,0.5,2.75,0.375,0.375
Age,25.0,transit,8,8,5.875,6.375,-0.125,2.375,0.5,0.5
Age,26.0,demos,4,4,4.5,5.0,-0.5,0.5,0.5,0.75
Age,26.0,employment,4,4,3.75,4.0,-0.25,3.5,0.0,0.25
Age,26.0,full,4,4,1.75,6.5,-0.25,-0.5,1.0,0.25
Age,26.0,geo,4,4,2.0,4.25,-0.5,3.75,0.5,0.5
Age,26.0,transit,4,4,1.75,5.25,0.25,0.75,0.75,0.25
Age,27.0,demos,8,8,5.125,4.5,-0.625,2.0,0.5,0.5
Age,27.0,employment,8,8,5.0,5.75,-0.75,0.25,0.375,0.375
Age,27.0,full,8,8,4.875,4.125,-0.875,-3.125,0.5,0.375
Age,27.0,geo,8,8,5.125,5.0,-2.375,-0.5,0.375,0.375
Age,27.0,transit,8,8,5.125,5.0,-1.875,-2.0,0.5,0.5
Age,28.0,demos,9,9,5.111111111111111,6.555555555555555,0.6666666666666666,2.5555555555555554,0.2222222222222222,0.1111111111111111
Age,28.0,employment,9,9,5.333333333333333,3.5555555555555554,0.2222222222222222,-0.8888888888888888,0.2222222222222222,0.6666666666666666
Age,28.0,full,9,9,5.333333333333333,4.666666666666667,-1.1111111111111112,-1.5555555555555556,0.4444444444444444,0.4444444444444444
Age,28.0,geo,9,9,3.888888888888889,6.555555555555555,-0.3333333333333333,-0.1111111111111111,0.5555555555555556,0.1111111111111111
Age,28.0,transit,9,9,6.444444444444445,4.222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.6666666666666666
Age,29.0,demos,6,6,5.5,6.333333333333333,0.16666666666666666,-0.6666666666666666,0.3333333333333333,0.3333333333333333
Age,29.0,employment,6,6,4.833333333333333,4.666666666666667,-0.5,1.6666666666666667,0.3333333333333333,0.6666666666666666
Age,29.0,full,6,6,7.666666666666667,6.5,-1.3333333333333333,-0.5,0.0,0.16666666666666666
Age,29.0,geo,6,6,5.333333333333333,6.5,-0.6666666666666666,-1.8333333333333333,0.3333333333333333,0.3333333333333333
Age,29.0,transit,6,6,5.5,9.166666666666666,0.16666666666666666,-0.5,0.3333333333333333,0.16666666666666666
Age,30.0,demos,5,5,4.2,6.8,-1.0,0.8,0.2,0.4
Age,30.0,employment,5,5,4.8,6.6,-2.8,-4.2,0.2,0.4
Age,30.0,full,5,5,4.2,6.2,-3.4,-3.4,0.4,0.2
Age,30.0,geo,5,5,5.0,6.0,-3.0,-1.2,0.2,0.2
Age,30.0,transit,5,5,6.0,6.4,-4.4,-3.2,0.2,0.0
Age,31.0,demos,3,3,7.666666666666667,7.0,-6.333333333333333,-5.0,0.0,0.3333333333333333
Age,31.0,employment,3,3,6.0,6.333333333333333,-6.0,-0.3333333333333333,0.6666666666666666,0.3333333333333333
Age,31.0,full,3,3,5.333333333333333,10.0,-4.666666666666667,-5.333333333333333,0.3333333333333333,0.0
Age,31.0,geo,3,3,8.0,4.333333333333333,-8.0,-3.6666666666666665,0.3333333333333333,0.3333333333333333
Age,31.0,transit,3,3,5.0,9.333333333333334,-3.6666666666666665,-4.666666666666667,0.3333333333333333,0.0
Age,32.0,demos,10,10,3.8,5.1,-1.8,-0.5,0.5,0.3
Age,32.0,employment,10,10,4.2,4.7,-1.4,1.1,0.6,0.4
Age,32.0,full,10,10,5.2,6.4,-3.4,-3.6,0.4,0.3
Age,32.0,geo,10,10,4.1,4.2,-2.1,-0.2,0.5,0.5
Age,32.0,transit,10,10,4.3,5.1,-0.5,-2.1,0.5,0.4
Age,33.0,demos,10,10,4.0,5.9,1.8,1.7,0.4,0.3
Age,33.0,employment,10,10,3.5,4.6,1.1,2.8,0.5,0.3
Age,33.0,full,10,10,4.4,4.0,0.2,-1.0,0.6,0.6
Age,33.0,geo,10,10,3.9,5.2,1.1,0.0,0.4,0.3
Age,33.0,transit,10,10,3.5,4.9,1.3,-0.3,0.7,0.3
Age,34.0,demos,12,12,4.666666666666667,4.166666666666667,-1.6666666666666667,0.3333333333333333,0.5,0.4166666666666667
Age,34.0,employment,12,12,4.25,5.916666666666667,2.0833333333333335,1.75,0.3333333333333333,0.25
Age,34.0,full,12,12,3.5,4.666666666666667,0.8333333333333334,-1.3333333333333333,0.4166666666666667,0.5
Age,34.0,geo,12,12,3.75,5.333333333333333,0.25,2.6666666666666665,0.4166666666666667,0.3333333333333333
Age,34.0,transit,12,12,4.25,3.8333333333333335,0.9166666666666666,-0.3333333333333333,0.4166666666666667,0.5
Age,35.0,demos,6,6,6.666666666666667,6.166666666666667,3.6666666666666665,6.166666666666667,0.16666666666666666,0.16666666666666666
Age,35.0,employment,6,6,6.166666666666667,5.666666666666667,2.1666666666666665,1.6666666666666667,0.5,0.5
Age,35.0,full,6,6,5.166666666666667,6.666666666666667,0.16666666666666666,2.3333333333333335,0.3333333333333333,0.16666666666666666
Age,35.0,geo,6,5,6.8,6.4,1.2,3.2,0.6,0.2
Age,35.0,transit,6,5,6.6,6.8,1.0,0.8,0.4,0.2
Age,36.0,demos,6,6,3.6666666666666665,6.833333333333333,3.0,2.1666666666666665,0.3333333333333333,0.0
Age,36.0,employment,6,6,5.166666666666667,7.0,2.5,2.6666666666666665,0.3333333333333333,0.16666666666666666
Age,36.0,full,6,6,2.0,6.666666666666667,1.0,1.6666666666666667,0.8333333333333334,0.3333333333333333
Age,36.0,geo,6,6,4.5,5.0,1.1666666666666667,0.0,0.0,0.16666666666666666
Age,36.0,transit,6,6,3.0,4.5,2.0,0.5,0.5,0.5
Age,37.0,demos,9,9,5.555555555555555,6.444444444444445,-0.4444444444444444,-2.2222222222222223,0.3333333333333333,0.2222222222222222
Age,37.0,employment,9,9,4.666666666666667,7.0,-0.2222222222222222,-0.5555555555555556,0.3333333333333333,0.3333333333333333
Age,37.0,full,9,9,5.666666666666667,6.111111111111111,-1.4444444444444444,-2.111111111111111,0.3333333333333333,0.3333333333333333
Age,37.0,geo,9,9,6.888888888888889,5.555555555555555,-2.888888888888889,-1.7777777777777777,0.0,0.3333333333333333
Age,37.0,transit,9,9,5.0,5.666666666666667,-0.5555555555555556,-1.4444444444444444,0.2222222222222222,0.5555555555555556
Age,38.0,demos,4,4,1.75,4.5,1.25,3.5,0.75,0.25
Age,38.0,employment,4,4,1.0,4.25,0.0,3.25,1.0,0.25
Age,38.0,full,4,4,3.75,4.0,0.75,1.5,0.25,0.5
Age,38.0,geo,4,4,1.0,6.5,1.0,6.5,1.0,0.0
Age,38.0,transit,4,4,2.0,4.0,1.0,3.5,0.75,0.25
Age,39.0,demos,12,12,4.833333333333333,4.083333333333333,0.0,-1.9166666666666667,0.08333333333333333,0.6666666666666666
Age,39.0,employment,12,12,4.583333333333333,4.5,0.25,1.1666666666666667,0.25,0.25
Age,39.0,full,12,11,6.2727272727272725,4.818181818181818,-2.090909090909091,-0.8181818181818182,0.18181818181818182,0.36363636363636365
Age,39.0,geo,12,12,5.833333333333333,7.666666666666667,-0.6666666666666666,1.1666666666666667,0.08333333333333333,0.25
Age,39.0,transit,12,12,4.5,6.25,-0.8333333333333334,1.9166666666666667,0.3333333333333333,0.16666666666666666
Age,40.0,demos,5,5,4.0,8.6,1.2,5.8,0.4,0.0
Age,40.0,employment,5,5,3.0,4.8,1.0,4.8,0.2,0.2
Age,40.0,full,5,5,3.8,3.2,0.6,3.2,0.2,0.4
Age,40.0,geo,5,5,1.8,4.8,-0.6,4.4,0.8,0.2
Age,40.0,transit,5,5,4.0,2.2,2.0,1.4,0.2,0.8
Age,41.0,demos,9,9,5.333333333333333,5.444444444444445,-2.2222222222222223,4.111111111111111,0.4444444444444444,0.1111111111111111
Age,41.0,employment,9,9,7.333333333333333,5.666666666666667,0.8888888888888888,3.888888888888889,0.0,0.2222222222222222
Age,41.0,full,9,9,7.111111111111111,4.666666666666667,-0.4444444444444444,0.6666666666666666,0.2222222222222222,0.4444444444444444
Age,41.0,geo,9,9,5.777777777777778,3.5555555555555554,-1.5555555555555556,2.888888888888889,0.4444444444444444,0.6666666666666666
Age,41.0,transit,9,9,7.666666666666667,4.444444444444445,-1.0,2.4444444444444446,0.2222222222222222,0.5555555555555556
Age,42.0,demos,8,8,7.625,9.125,-3.375,6.625,0.25,0.375
Age,42.0,employment,8,8,9.75,7.125,-5.75,2.125,0.25,0.25
Age,42.0,full,8,8,7.625,6.375,-4.625,0.625,0.25,0.125
Age,42.0,geo,8,8,8.75,7.25,-4.5,0.5,0.375,0.375
