tier,mae_group_this,mae_group_llama31_8b_instruct,mae_ip_this,mae_ip_llama31_8b_instruct,band_group_this,band_group_llama31_8b_instruct,band_ip_this,band_ip_llama31_8b_instruct
all,5.224625623960066,5.923651452282158,5.733777038269551,5.824896265560166,0.33444259567387685,0.2879668049792531,0.3544093178036606,0.4024896265560166
demos,5.124481327800829,6.049792531120332,5.929460580912863,4.668049792531121,0.3112033195020747,0.2572614107883817,0.3236514522821577,0.5186721991701245
employment,5.157676348547718,6.033195020746888,5.659751037344399,4.734439834024896,0.3153526970954357,0.2531120331950207,0.36099585062240663,0.5186721991701245
geo,5.3,6.016597510373444,5.858333333333333,4.626556016597511,0.3333333333333333,0.2531120331950207,0.32083333333333336,0.5311203319502075
transit,5.145833333333333,5.676348547717843,5.804166666666666,8.174273858921161,0.3625,0.2987551867219917,0.35,0.1535269709543568
full,5.395833333333333,5.842323651452282,5.416666666666667,6.921161825726141,0.35,0.3775933609958506,0.4166666666666667,0.2904564315352697
