group_col,group_key,tier,n_predictions,n_with_ground_truth,mae_group,mae_interpersonal,mean_error_group,mean_error_interpersonal,band_acc_group,band_acc_interpersonal
Age,17.0,demos,1,1,4.0,5.0,4.0,-5.0,1.0,0.0
Age,17.0,employment,1,1,4.0,5.0,4.0,5.0,1.0,0.0
Age,17.0,full,1,1,2.0,1.0,-2.0,1.0,0.0,1.0
Age,17.0,geo,1,1,4.0,5.0,4.0,-5.0,1.0,0.0
Age,17.0,transit,1,1,2.0,5.0,2.0,5.0,1.0,0.0
Age,18.0,demos,1,1,2.0,9.0,2.0,-9.0,1.0,0.0
Age,18.0,employment,1,1,2.0,9.0,2.0,-9.0,1.0,0.0
Age,18.0,full,1,1,4.0,3.0,-4.0,-3.0,0.0,0.0
Age,18.0,geo,1,1,2.0,9.0,2.0,-9.0,1.0,0.0
Age,18.0,transit,1,1,0.0,1.0,0.0,1.0,1.0,1.0
Age,19.0,demos,4,4,3.0,7.0,0.5,-7.0,0.25,0.25
Age,19.0,employment,4,4,3.0,9.5,0.5,-4.5,0.25,0.0
Age,19.0,full,4,4,5.5,4.0,-3.0,1.0,0.0,0.25
Age,19.0,geo,4,4,3.0,7.0,0.5,-7.0,0.25,0.25
Age,19.0,transit,4,4,3.5,3.0,-1.0,3.0,0.25,0.75
Age,21.0,demos,4,4,8.0,7.5,-1.0,-4.5,0.25,0.5
Age,21.0,employment,4,4,8.0,7.5,-1.0,-4.5,0.25,0.5
Age,21.0,full,4,4,6.5,4.25,-5.5,1.25,0.5,0.5
Age,21.0,geo,4,4,8.0,7.5,-1.0,-4.5,0.25,0.5
Age,21.0,transit,4,4,10.5,5.5,-5.5,0.0,0.0,0.25
Age,22.0,demos,5,5,8.0,9.6,0.4,-8.8,0.0,0.4
Age,22.0,employment,5,5,8.0,9.6,0.4,-8.8,0.0,0.4
Age,22.0,full,5,5,10.0,11.6,-4.8,-4.4,0.2,0.2
Age,22.0,geo,5,5,8.0,9.6,0.4,-8.8,0.0,0.4
Age,22.0,transit,5,5,8.4,8.0,-3.2,-0.8,0.2,0.4
Age,23.0,demos,10,10,5.3,3.7,3.5,-2.3,0.3,0.5
Age,23.0,employment,10,10,5.3,3.7,3.5,-2.3,0.3,0.5
Age,23.0,full,10,10,4.5,6.7,0.9,3.7,0.3,0.4
Age,23.0,geo,10,10,5.3,3.7,3.5,-2.3,0.3,0.5
Age,23.0,transit,10,10,3.9,7.7,1.5,6.9,0.5,0.1
Age,24.0,demos,4,4,3.75,6.0,-0.75,-6.0,0.25,0.25
Age,24.0,employment,4,4,3.75,6.0,-0.75,-6.0,0.25,0.25
Age,24.0,full,4,4,5.75,10.0,-3.75,0.5,0.25,0.0
Age,24.0,geo,4,4,3.75,6.0,-0.75,-6.0,0.25,0.25
Age,24.0,transit,4,4,4.75,6.5,-2.75,4.0,0.25,0.25
Age,25.0,demos,8,8,7.125,6.25,4.125,-1.0,0.375,0.5
Age,25.0,employment,8,8,7.125,6.25,4.125,-1.0,0.375,0.5
Age,25.0,full,8,8,9.125,9.75,-0.875,3.0,0.125,0.125
Age,25.0,geo,8,8,7.125,6.25,4.125,-1.0,0.375,0.5
Age,25.0,transit,8,8,7.625,11.0,2.125,8.5,0.375,0.0
Age,26.0,demos,4,4,4.5,2.75,4.5,-1.25,0.5,0.75
Age,26.0,employment,4,4,4.5,2.75,4.5,-1.25,0.5,0.75
Age,26.0,full,4,4,3.0,6.25,-2.0,2.75,0.75,0.25
Age,26.0,geo,4,4,4.5,2.75,4.5,-1.25,0.5,0.75
Age,26.0,transit,4,4,3.5,6.5,0.5,6.0,0.5,0.25
Age,27.0,demos,8,8,5.5,4.375,2.5,-4.375,0.375,0.25
Age,27.0,employment,8,8,5.5,4.375,2.5,-4.375,0.375,0.25
