tier,n_predictions,n_with_ground_truth,mae_group,mae_interpersonal,mean_error_group,mean_error_interpersonal,exact_acc_group,mean_norm_score_distance_group,band_acc_group,n_band_group,mean_band_distance_group,mean_norm_band_distance_group,exact_acc_interpersonal,mean_norm_score_distance_interpersonal,band_acc_interpersonal,n_band_interpersonal,mean_band_distance_interpersonal,mean_norm_band_distance_interpersonal
all,1205,1205,5.923651452282158,5.824896265560166,1.9153526970954358,0.4721991701244813,0.06058091286307054,0.24681881051175653,0.2879668049792531,1205,0.7659751037344399,0.38298755186721994,0.09045643153526971,0.24270401106500689,0.4024896265560166,1205,0.8506224066390041,0.42531120331950206
demos,241,241,6.049792531120332,4.668049792531121,3.4439834024896268,-2.211618257261411,0.06224066390041494,0.2520746887966805,0.2572614107883817,241,0.7551867219917012,0.3775933609958506,0.12863070539419086,0.19450207468879668,0.5186721991701245,241,0.6597510373443983,0.32987551867219916
employment,241,241,6.033195020746888,4.734439834024896,3.3941908713692945,-2.1618257261410787,0.058091286307053944,0.25138312586445366,0.25311203319502074,241,0.7510373443983402,0.3755186721991701,0.12448132780082988,0.19726832641770403,0.5186721991701245,241,0.6721991701244814,0.3360995850622407
full,241,241,5.842323651452282,6.921161825726141,-1.3360995850622406,2.5228215767634854,0.06639004149377593,0.2434301521438451,0.3775933609958506,241,0.7759336099585062,0.3879668049792531,0.04979253112033195,0.2883817427385892,0.29045643153526973,241,1.012448132780083,0.5062240663900415
geo,241,241,6.016597510373444,4.626556016597511,3.3775933609958506,-2.3112033195020745,0.058091286307053944,0.25069156293222683,0.25311203319502074,241,0.7468879668049793,0.37344398340248963,0.12863070539419086,0.19277316735822958,0.5311203319502075,241,0.6514522821576764,0.3257261410788382
transit,241,241,5.676348547717843,8.174273858921161,0.6970954356846473,6.522821576763485,0.058091286307053944,0.23651452282157676,0.2987551867219917,241,0.8008298755186722,0.4004149377593361,0.02074688796680498,0.34059474412171514,0.15352697095435686,241,1.2572614107883817,0.6286307053941909
