tier,delta_mae_group_vs_demos,delta_mae_interpersonal_vs_demos,delta_band_acc_group_vs_demos,delta_band_acc_interpersonal_vs_demos
demos,0.0,0.0,0.0,0.0
employment,-0.44813278008298685,0.04149377593360981,0.05809128630705396,-0.00829875518672199
geo,-0.22821576763485396,-2.6639004149377596,0.01659751037344398,0.24481327800829875
transit,-0.2578492392807741,-0.2189488243430162,0.06353734439834025,0.0008125864453665255
full,0.3029045643153534,-1.2904564315352696,0.11203319502074688,0.07053941908713693
