tier,delta_mae_group_vs_demos,delta_mae_interpersonal_vs_demos,delta_band_acc_group_vs_demos,delta_band_acc_interpersonal_vs_demos
demos,0.0,0.0,0.0,0.0
employment,0.10020746887966858,0.6629840940525593,0.01817081604426002,-0.01948478561549105
geo,-0.16182572614107826,0.08713692946058149,-0.004149377593360981,0.01659751037344398
transit,-0.08312586445366499,-0.028682572614107116,-0.002662517289073296,0.0388485477178423
full,0.016597510373443924,-0.008298755186721962,-0.03319502074688796,0.0580912863070539
