tier,n_predictions,n_with_ground_truth,mae_group,mae_interpersonal,mean_error_group,mean_error_interpersonal,exact_acc_group,mean_norm_score_distance_group,band_acc_group,n_band_group,mean_band_distance_group,mean_norm_band_distance_group,exact_acc_interpersonal,mean_norm_score_distance_interpersonal,band_acc_interpersonal,n_band_interpersonal,mean_band_distance_interpersonal,mean_norm_band_distance_interpersonal
all,1205,1203,5.024106400665004,5.258520365752286,-0.8827930174563591,1.0490440565253534,0.0739817123857024,0.20933776669437518,0.3566084788029925,1203,0.7206982543640897,0.36034912718204487,0.04821280133000831,0.21910501523967857,0.342477140482128,1203,0.7090606816292602,0.3545303408146301
demos,241,241,5.049792531120332,5.1161825726141075,-1.1825726141078838,1.0,0.0954356846473029,0.2104080221300138,0.36099585062240663,241,0.7510373443983402,0.3755186721991701,0.04564315352697095,0.21317427385892115,0.3236514522821577,241,0.7012448132780082,0.3506224066390041
employment,241,240,5.15,5.779166666666667,-1.2916666666666667,1.4375,0.07083333333333333,0.21458333333333332,0.37916666666666665,240,0.7291666666666666,0.3645833333333333,0.025,0.24079861111111114,0.30416666666666664,240,0.7666666666666667,0.38333333333333336
full,241,241,5.066390041493776,5.1078838174273855,-0.7510373443983402,0.7427385892116183,0.058091286307053944,0.21109958506224066,0.3278008298755187,241,0.7427385892116183,0.37136929460580914,0.05394190871369295,0.21282849239280777,0.3817427385892116,241,0.6804979253112033,0.34024896265560167
geo,241,241,4.8879668049792535,5.203319502074689,-0.3236514522821577,1.4190871369294606,0.07468879668049792,0.2036652835408022,0.35684647302904565,241,0.6763485477178424,0.3381742738589212,0.07883817427385892,0.21680497925311204,0.34024896265560167,241,0.7136929460580913,0.35684647302904565
transit,241,240,4.966666666666667,5.0875,-0.8666666666666667,0.6458333333333334,0.07083333333333333,0.20694444444444446,0.35833333333333334,240,0.7041666666666667,0.35208333333333336,0.0375,0.21197916666666666,0.3625,240,0.6833333333333333,0.3416666666666667
