tier,delta_mae_group_vs_demos,delta_mae_interpersonal_vs_demos,delta_band_acc_group_vs_demos,delta_band_acc_interpersonal_vs_demos
demos,0.0,0.0,0.0,0.0
employment,0.0663900414937757,0.09958506224066355,-0.024896265560165998,-0.02489626556016597
geo,-0.3734439834024901,-1.8174273858921168,0.22821576763485474,0.2614107883817427
transit,-0.4066390041493779,-2.157676348547718,0.15767634854771784,0.17427385892116184
full,-0.9294605809128633,-1.8589211618257266,0.13278008298755184,0.10788381742738593
v3_rideshare,-0.5560165975103741,-1.792531120331951,0.25311203319502074,0.2655601659751037
v3_public_transit,-0.46473029045643166,-2.2406639004149387,0.19917012448132776,0.25311203319502074
v3_voice,-0.6970954356846475,-2.1286307053941913,0.20746887966804978,0.25311203319502074
