tier,delta_mae_group_vs_demos,delta_mae_interpersonal_vs_demos,delta_band_acc_group_vs_demos,delta_band_acc_interpersonal_vs_demos
demos,0.0,0.0,0.0,0.0
employment,0.0,0.0,0.0,0.0
geo,-0.03319502074688785,-0.04979253112033177,0.0,0.012448132780083054
transit,-0.03319502074688785,-0.04979253112033177,0.004149377593360981,0.008298755186722073
full,-0.11618257261410747,-0.18257261410788406,0.012448132780082999,0.02904564315352698
v3_rideshare,-0.016597510373443924,-0.024896265560165887,0.0,0.008298755186722073
v3_public_transit,0.0,0.0,0.0,0.004149377593361092
v3_voice,-0.1327800829875514,-0.25311203319502074,0.012448132780082999,0.03319502074688807
