tier,delta_mae_group_vs_demos,delta_mae_interpersonal_vs_demos,delta_band_acc_group_vs_demos,delta_band_acc_interpersonal_vs_demos
demos,0.0,0.0,0.0,0.0
employment,0.0,0.18257261410788406,-0.004149377593360981,-0.004149377593360981
geo,0.0414937759336107,0.20746887966804994,-0.012448132780082943,0.008298755186721962
transit,-0.11618257261410747,0.58091286307054,-0.012448132780082943,0.0
full,-0.29045643153526957,0.46473029045643166,-0.03319502074688796,0.02074688796680496
