group_col,group_key,tier,n_predictions,n_with_ground_truth,mae_group,mae_interpersonal,mean_error_group,mean_error_interpersonal,band_acc_group,band_acc_interpersonal
Age,24.0,demos,4,4,8.75,4.0,-8.75,-2.0,0.25,0.5
Age,24.0,employment,4,4,8.75,4.0,-8.75,-2.0,0.25,0.5
Age,24.0,full,4,4,8.25,4.0,-8.25,-1.5,0.25,0.5
Age,24.0,geo,4,4,8.75,4.0,-8.75,-2.0,0.25,0.5
Age,24.0,transit,4,4,8.25,4.0,-8.25,-1.5,0.25,0.5
Age,25.0,demos,8,8,6.625,6.5,-3.875,3.0,0.5,0.375
Age,25.0,employment,8,8,6.625,6.5,-3.875,3.0,0.5,0.375
Age,25.0,full,8,8,6.875,7.25,-2.125,4.25,0.5,0.375
Age,25.0,geo,8,8,6.625,6.5,-3.875,3.0,0.5,0.375
Age,25.0,transit,8,8,6.875,7.75,-2.125,4.75,0.5,0.375
Age,26.0,demos,4,4,3.5,4.25,-3.5,2.75,0.5,0.25
Age,26.0,employment,4,4,3.5,4.25,-3.5,2.75,0.5,0.25
Age,26.0,full,4,4,3.5,4.75,-2.5,1.25,0.25,0.25
Age,26.0,geo,4,4,3.5,4.25,-3.5,2.75,0.5,0.25
Age,26.0,transit,4,4,3.0,3.75,-3.0,3.25,0.5,0.25
Age,27.0,demos,8,8,5.75,3.125,-5.5,-0.375,0.5,0.625
Age,27.0,employment,8,8,5.75,3.375,-5.5,-0.125,0.5,0.625
Age,27.0,full,8,8,5.5,3.625,-4.0,0.625,0.375,0.625
Age,27.0,geo,8,8,5.75,3.875,-4.75,0.375,0.375,0.625
Age,27.0,transit,8,8,5.75,4.875,-3.25,1.875,0.5,0.5
Age,28.0,demos,9,9,4.888888888888889,4.555555555555555,-4.0,1.4444444444444444,0.7777777777777778,0.3333333333333333
Age,28.0,employment,9,9,5.333333333333333,5.444444444444445,-3.3333333333333335,2.3333333333333335,0.6666666666666666,0.3333333333333333
Age,28.0,full,9,9,4.0,6.333333333333333,-2.4444444444444446,2.3333333333333335,0.7777777777777778,0.3333333333333333
Age,28.0,geo,9,9,5.333333333333333,5.444444444444445,-3.3333333333333335,2.3333333333333335,0.6666666666666666,0.3333333333333333
Age,28.0,transit,9,9,4.666666666666667,6.333333333333333,-2.2222222222222223,3.2222222222222223,0.6666666666666666,0.3333333333333333
Age,29.0,demos,6,6,6.666666666666667,5.833333333333333,-5.333333333333333,-0.5,0.5,0.3333333333333333
Age,29.0,employment,6,6,6.666666666666667,5.833333333333333,-5.333333333333333,-0.5,0.5,0.3333333333333333
Age,29.0,full,6,6,6.666666666666667,7.5,-4.666666666666667,-1.5,0.5,0.16666666666666666
Age,29.0,geo,6,6,6.666666666666667,5.833333333333333,-5.333333333333333,-0.5,0.5,0.3333333333333333
Age,29.0,transit,6,6,6.333333333333333,6.166666666666667,-4.333333333333333,0.5,0.5,0.3333333333333333
Age,30.0,demos,5,5,7.2,4.8,-7.2,-1.6,0.4,0.2
Age,30.0,employment,5,5,7.2,4.8,-7.2,-1.6,0.4,0.2
Age,30.0,full,5,5,6.8,5.6,-6.8,-2.4,0.4,0.2
Age,30.0,geo,5,5,7.2,4.8,-7.2,-1.6,0.4,0.2
Age,30.0,transit,5,5,6.8,5.2,-6.8,-2.0,0.4,0.2
Age,31.0,demos,3,3,8.666666666666666,6.666666666666667,-8.666666666666666,-2.0,0.3333333333333333,0.0
Age,31.0,employment,3,3,8.666666666666666,6.666666666666667,-8.666666666666666,-2.0,0.3333333333333333,0.0
Age,31.0,full,3,3,8.0,10.0,-7.333333333333333,-4.0,0.0,0.0
Age,31.0,geo,3,3,8.666666666666666,6.666666666666667,-8.666666666666666,-2.0,0.3333333333333333,0.0
Age,31.0,transit,3,3,8.0,10.0,-8.0,-4.0,0.3333333333333333,0.0
Age,32.0,demos,10,10,6.1,3.3,-5.3,0.9,0.4,0.7
Age,32.0,employment,10,10,6.1,3.3,-5.3,0.9,0.4,0.7
Age,32.0,full,10,10,5.9,4.3,-4.3,-0.9,0.3,0.6
Age,32.0,geo,10,10,6.1,3.3,-5.3,0.9,0.4,0.7
Age,32.0,transit,10,10,5.7,3.5,-4.9,0.1,0.4,0.7
Age,33.0,demos,10,10,3.4,4.5,-2.4,2.1,0.7,0.2
Age,33.0,employment,10,10,3.4,4.5,-2.4,2.1,0.7,0.2
Age,33.0,full,10,10,3.6,4.9,-1.4,1.7,0.7,0.2
Age,33.0,geo,10,10,3.4,4.5,-2.4,2.1,0.7,0.2
Age,33.0,transit,10,10,3.8,6.5,-1.2,2.5,0.7,0.1
Age,34.0,demos,12,12,4.083333333333333,3.75,-3.0833333333333335,1.9166666666666667,0.6666666666666666,0.3333333333333333
Age,34.0,employment,12,12,3.5833333333333335,4.75,-2.0833333333333335,3.25,0.6666666666666666,0.25
Age,34.0,full,12,12,3.75,5.75,-0.9166666666666666,3.4166666666666665,0.5,0.16666666666666666
Age,34.0,geo,12,12,3.5833333333333335,4.75,-2.0833333333333335,3.25,0.6666666666666666,0.25
Age,34.0,transit,12,12,4.083333333333333,5.25,-1.9166666666666667,2.75,0.5833333333333334,0.25
Age,35.0,demos,6,6,4.5,4.166666666666667,-1.8333333333333333,2.8333333333333335,0.6666666666666666,0.3333333333333333
Age,35.0,employment,6,6,4.5,4.166666666666667,-1.8333333333333333,2.8333333333333335,0.6666666666666666,0.3333333333333333
Age,35.0,full,6,6,4.166666666666667,4.833333333333333,-0.16666666666666666,3.8333333333333335,0.6666666666666666,0.3333333333333333
Age,35.0,geo,6,6,4.5,4.166666666666667,-1.8333333333333333,2.8333333333333335,0.6666666666666666,0.3333333333333333
