tier,mae_group_3b,mae_group_8b,mae_ip_3b,mae_ip_8b,band_group_3b,band_group_8b,band_ip_3b,band_ip_8b
all,5.512033195020747,5.923651452282158,5.3535269709543565,5.824896265560166,0.5269709543568465,0.2879668049792531,0.2995850622406639,0.4024896265560166
demos,5.5850622406639,6.049792531120332,5.066390041493776,4.668049792531121,0.5394190871369294,0.2572614107883817,0.2946058091286307,0.5186721991701245
employment,5.5850622406639,6.033195020746888,5.24896265560166,4.734439834024896,0.5352697095435685,0.2531120331950207,0.29045643153526973,0.5186721991701245
geo,5.626556016597511,6.016597510373444,5.273858921161826,4.626556016597511,0.5269709543568465,0.2531120331950207,0.3029045643153527,0.5311203319502075
transit,5.468879668049793,5.676348547717843,5.647302904564316,8.174273858921161,0.5269709543568465,0.2987551867219917,0.2946058091286307,0.1535269709543568
full,5.2946058091286305,5.842323651452282,5.531120331950207,6.921161825726141,0.5062240663900415,0.3775933609958506,0.3153526970954357,0.2904564315352697
