group_col,group_key,tier,n_predictions,n_with_ground_truth,mae_group,mae_interpersonal,mean_error_group,mean_error_interpersonal,band_acc_group,band_acc_interpersonal
Student status,No,demos,190,190,7.878947368421053,7.315789473684211,3.2578947368421054,4.105263157894737,0.38421052631578945,0.3631578947368421
Student status,No,employment,190,190,8.094736842105263,8.421052631578947,3.5789473684210527,4.042105263157895,0.3,0.3105263157894737
Student status,No,full,190,190,7.8578947368421055,8.01578947368421,3.1736842105263157,4.268421052631579,0.41578947368421054,0.30526315789473685
Student status,No,geo,190,190,8.142105263157895,8.868421052631579,3.4368421052631577,4.268421052631579,0.35789473684210527,0.2578947368421053
Student status,No,transit,190,190,8.215789473684211,8.131578947368421,3.8684210526315788,4.268421052631579,0.3526315789473684,0.3
Student status,Yes,demos,34,34,7.235294117647059,9.147058823529411,0.6470588235294118,0.5588235294117647,0.2647058823529412,0.29411764705882354
Student status,Yes,employment,34,34,8.882352941176471,7.205882352941177,-1.1176470588235294,-0.6176470588235294,0.2647058823529412,0.38235294117647056
Student status,Yes,full,34,34,7.647058823529412,7.411764705882353,-0.8235294117647058,1.7647058823529411,0.4117647058823529,0.29411764705882354
Student status,Yes,geo,34,34,8.617647058823529,7.5588235294117645,0.8529411764705882,1.3823529411764706,0.29411764705882354,0.38235294117647056
Student status,Yes,transit,34,34,8.823529411764707,6.352941176470588,1.7647058823529411,1.2941176470588236,0.2647058823529412,0.35294117647058826
Student status,nan,demos,17,17,6.647058823529412,7.176470588235294,-0.4117647058823529,4.705882352941177,0.4117647058823529,0.29411764705882354
Student status,nan,employment,17,17,5.764705882352941,8.882352941176471,2.4705882352941178,2.176470588235294,0.5294117647058824,0.35294117647058826
Student status,nan,full,17,17,5.9411764705882355,9.705882352941176,-0.7647058823529411,2.2941176470588234,0.47058823529411764,0.17647058823529413
Student status,nan,geo,17,17,6.352941176470588,8.764705882352942,3.5294117647058822,3.235294117647059,0.4117647058823529,0.47058823529411764
Student status,nan,transit,17,17,9.588235294117647,7.294117647058823,3.4705882352941178,3.5294117647058822,0.23529411764705882,0.4117647058823529
