tier,n_predictions,n_with_ground_truth,mae_group,mae_interpersonal,mean_error_group,mean_error_interpersonal,exact_acc_group,mean_norm_score_distance_group,band_acc_group,n_band_group,mean_band_distance_group,mean_norm_band_distance_group,exact_acc_interpersonal,mean_norm_score_distance_interpersonal,band_acc_interpersonal,n_band_interpersonal,mean_band_distance_interpersonal,mean_norm_band_distance_interpersonal
all,1928,1928,8.07780082987552,8.155601659751037,3.0975103734439835,3.620331950207469,0.03682572614107884,0.33657503457814664,0.32935684647302904,1928,0.9678423236514523,0.48392116182572614,0.043568464730290454,0.33981673582295985,0.32468879668049794,1928,0.9678423236514523,0.48392116182572614
demos,241,241,8.771784232365146,8.132780082987551,3.195020746887967,4.074688796680498,0.03319502074688797,0.3654910096818811,0.2821576763485477,241,1.062240663900415,0.5311203319502075,0.02074688796680498,0.338865836791148,0.3112033195020747,241,0.995850622406639,0.4979253112033195
employment,241,241,7.875518672199171,8.070539419087137,3.4107883817427385,3.7385892116182573,0.03319502074688797,0.32814661134163214,0.36929460580912865,241,0.9336099585062241,0.46680497925311204,0.04564315352697095,0.33627247579529734,0.31950207468879666,241,1.004149377593361,0.5020746887966805
full,241,241,7.817427385892116,8.161825726141078,3.319502074688797,4.095435684647303,0.04149377593360996,0.3257261410788382,0.3360995850622407,241,0.941908713692946,0.470954356846473,0.058091286307053944,0.3400760719225449,0.35684647302904565,241,0.9294605809128631,0.46473029045643155
geo,241,241,8.576763485477178,8.71369294605809,3.224066390041494,3.9419087136929463,0.02074688796680498,0.3573651452282158,0.2946058091286307,241,1.037344398340249,0.5186721991701245,0.024896265560165973,0.3630705394190871,0.29045643153526973,241,1.020746887966805,0.5103734439834025
transit,241,241,7.477178423236515,7.995850622406639,2.7053941908713695,3.4730290456431536,0.04979253112033195,0.3115491009681881,0.34024896265560167,241,0.921161825726141,0.4605809128630705,0.06224066390041494,0.3331604426002766,0.3278008298755187,241,0.941908713692946,0.470954356846473
v3_public_transit,241,241,8.182572614107883,7.975103734439834,2.5892116182572615,3.219917012448133,0.029045643153526972,0.34094052558782845,0.3112033195020747,241,0.979253112033195,0.4896265560165975,0.03319502074688797,0.33229598893499307,0.31950207468879666,241,0.9543568464730291,0.47717842323651455
v3_rideshare,241,241,7.539419087136929,8.08298755186722,3.33195020746888,2.9377593360995853,0.04979253112033195,0.3141424619640387,0.4024896265560166,241,0.8589211618257261,0.42946058091286304,0.05394190871369295,0.33679114799446747,0.34024896265560167,241,0.946058091286307,0.4730290456431535
v3_voice,241,241,8.381742738589212,8.112033195020746,3.004149377593361,3.4813278008298756,0.03734439834024896,0.34923928077455046,0.2987551867219917,241,1.008298755186722,0.504149377593361,0.04979253112033195,0.3380013831258644,0.33195020746887965,241,0.950207468879668,0.475103734439834
